text,label
"Your account has been suspended. Click here to verify.",1
"Congratulations! You won a free iPhone. Claim now.",1
"Your PayPal account is locked. Verify now.",1
"Urgent action required. Login immediately.",1
"Click this link to claim your reward.",1
"Bank verification required within 24 hours.",1
"Your ATM card has been blocked.",1
"Meeting scheduled tomorrow at 10 AM.",0
"Please review the attached project report.",0
"Happy Birthday! Have a great day.",0
"Let's meet for lunch tomorrow.",0
"Project submission deadline is Friday.",0
"Thank you for your purchase.",0
"Class starts at 9 AM tomorrow.",0